,# 1st Billing,# 2nd Billing,# 3rd Billing,# 4th Billing,# 5th Billing,Total Movie Count
Jason Statham,21.0,8.0,2.0,2.0,0.0,33.0
Nicolas Cage,28.0,0.0,2.0,0.0,2.0,32.0
Samuel L. Jackson,7.0,11.0,6.0,3.0,5.0,32.0
Dwayne Johnson,23.0,5.0,2.0,0.0,0.0,30.0
Mark Wahlberg,20.0,7.0,1.0,1.0,0.0,29.0
Scarlett Johansson,7.0,8.0,3.0,5.0,5.0,28.0
Johnny Depp,20.0,1.0,3.0,1.0,1.0,26.0
Owen Wilson,11.0,8.0,6.0,0.0,0.0,25.0
Matt Damon,15.0,5.0,4.0,0.0,0.0,24.0
Ryan Reynolds,14.0,7.0,3.0,0.0,0.0,24.0
Morgan Freeman,3.0,11.0,4.0,5.0,1.0,24.0
Adam Sandler,23.0,0.0,0.0,0.0,0.0,23.0
Gerard Butler,12.0,5.0,4.0,1.0,1.0,23.0
Bradley Cooper,10.0,3.0,3.0,3.0,4.0,23.0
Christian Bale,15.0,4.0,1.0,2.0,0.0,22.0
Liam Neeson,15.0,3.0,3.0,0.0,1.0,22.0
Matthew McConaughey,14.0,7.0,0.0,1.0,0.0,22.0
Bruce Willis,14.0,5.0,2.0,0.0,1.0,22.0
Brad Pitt,13.0,5.0,0.0,3.0,1.0,22.0
Robert De Niro,9.0,8.0,2.0,3.0,0.0,22.0
Anne Hathaway,7.0,9.0,3.0,3.0,0.0,22.0
Idris Elba,5.0,4.0,5.0,4.0,4.0,22.0
Tom Cruise,19.0,0.0,1.0,1.0,0.0,21.0
Keanu Reeves,16.0,1.0,2.0,1.0,1.0,21.0
Angelina Jolie,9.0,7.0,3.0,1.0,1.0,21.0
Chris Evans,8.0,5.0,4.0,3.0,1.0,21.0
Woody Harrelson,3.0,6.0,5.0,5.0,2.0,21.0
Denzel Washington,19.0,1.0,0.0,0.0,0.0,20.0
Will Smith,19.0,1.0,0.0,0.0,0.0,20.0
Tom Hanks,14.0,6.0,0.0,0.0,0.0,20.0
Colin Farrell,11.0,3.0,2.0,1.0,3.0,20.0
Gary Oldman,2.0,6.0,7.0,3.0,2.0,20.0
Ben Stiller,16.0,1.0,2.0,0.0,0.0,19.0
Robert Downey Jr.,13.0,2.0,2.0,1.0,1.0,19.0
Russell Crowe,13.0,4.0,0.0,0.0,1.0,18.0
Hugh Jackman,12.0,2.0,2.0,1.0,1.0,18.0
Jake Gyllenhaal,11.0,5.0,2.0,0.0,0.0,18.0
Daniel Craig,11.0,3.0,3.0,0.0,1.0,18.0
Chris Hemsworth,11.0,2.0,0.0,3.0,2.0,18.0
Steve Carell,10.0,4.0,3.0,1.0,0.0,18.0
Jack Black,10.0,3.0,2.0,2.0,1.0,18.0
Antonio Banderas,9.0,2.0,2.0,3.0,2.0,18.0
Cameron Diaz,8.0,1.0,7.0,2.0,0.0,18.0
Kevin Hart,7.0,7.0,1.0,0.0,3.0,18.0
James Franco,7.0,3.0,4.0,3.0,1.0,18.0
Amanda Seyfried,6.0,5.0,3.0,4.0,0.0,18.0
Charlize Theron,5.0,9.0,3.0,1.0,0.0,18.0
Jude Law,5.0,6.0,3.0,3.0,1.0,18.0
Emma Stone,4.0,7.0,3.0,3.0,1.0,18.0
Josh Brolin,4.0,5.0,4.0,3.0,2.0,18.0
John Goodman,3.0,4.0,3.0,4.0,4.0,18.0
Ben Affleck,14.0,1.0,1.0,1.0,0.0,17.0
Ewan McGregor,8.0,6.0,3.0,0.0,0.0,17.0
Jamie Foxx,6.0,5.0,3.0,2.0,1.0,17.0
Seth Rogen,6.0,5.0,2.0,1.0,3.0,17.0
Mark Ruffalo,3.0,5.0,6.0,1.0,2.0,17.0
Justin Long,2.0,6.0,3.0,3.0,3.0,17.0
Willem Dafoe,1.0,4.0,5.0,2.0,5.0,17.0
Mark Strong,0.0,3.0,3.0,6.0,5.0,17.0
Leonardo DiCaprio,13.0,2.0,1.0,0.0,0.0,16.0
Will Ferrell,12.0,1.0,2.0,1.0,0.0,16.0
Ryan Gosling,8.0,6.0,2.0,0.0,0.0,16.0
Naomi Watts,8.0,2.0,4.0,1.0,1.0,16.0
Nicole Kidman,7.0,4.0,2.0,1.0,2.0,16.0
Ethan Hawke,6.0,3.0,3.0,3.0,1.0,16.0
Patrick Wilson,5.0,6.0,3.0,1.0,1.0,16.0
Amy Adams,4.0,5.0,6.0,0.0,1.0,16.0
Rachel McAdams,3.0,6.0,5.0,1.0,1.0,16.0
Michael Peña,2.0,3.0,4.0,4.0,3.0,16.0
Cate Blanchett,1.0,9.0,4.0,1.0,1.0,16.0
Elizabeth Banks,1.0,7.0,1.0,1.0,6.0,16.0
Jackie Chan,10.0,3.0,0.0,0.0,2.0,15.0
Channing Tatum,8.0,7.0,0.0,0.0,0.0,15.0
Chris Pratt,8.0,3.0,1.0,1.0,2.0,15.0
Zac Efron,6.0,6.0,2.0,0.0,1.0,15.0
Tom Hardy,6.0,4.0,3.0,1.0,1.0,15.0
Jonah Hill,4.0,5.0,3.0,0.0,3.0,15.0
Ralph Fiennes,4.0,4.0,3.0,2.0,2.0,15.0
Kate Winslet,3.0,6.0,1.0,3.0,2.0,15.0
Emma Watson,3.0,4.0,7.0,0.0,1.0,15.0
Margot Robbie,3.0,4.0,5.0,1.0,2.0,15.0
J.K. Simmons,2.0,2.0,3.0,1.0,7.0,15.0
Rose Byrne,0.0,10.0,4.0,1.0,0.0,15.0
John Leguizamo,0.0,6.0,5.0,3.0,1.0,15.0
Helena Bonham Carter,0.0,3.0,4.0,4.0,4.0,15.0
Bill Nighy,0.0,3.0,3.0,4.0,5.0,15.0
George Clooney,11.0,3.0,0.0,0.0,0.0,14.0
Jim Carrey,11.0,0.0,1.0,1.0,1.0,14.0
Kristen Stewart,9.0,4.0,0.0,1.0,0.0,14.0
Anna Faris,7.0,3.0,3.0,1.0,0.0,14.0
Jason Bateman,7.0,1.0,1.0,3.0,2.0,14.0
Chris Pine,6.0,6.0,1.0,1.0,0.0,14.0
Anna Kendrick,6.0,2.0,4.0,2.0,0.0,14.0
Sam Rockwell,6.0,0.0,3.0,2.0,3.0,14.0
Jennifer Garner,5.0,6.0,3.0,0.0,0.0,14.0
Chloë Grace Moretz,5.0,3.0,2.0,3.0,1.0,14.0
Clive Owen,4.0,3.0,4.0,2.0,1.0,14.0
Guy Pearce,3.0,3.0,3.0,3.0,2.0,14.0
Colin Firth,2.0,9.0,2.0,0.0,1.0,14.0
Vera Farmiga,2.0,6.0,4.0,1.0,1.0,14.0
Seann William Scott,0.0,6.0,2.0,3.0,3.0,14.0
Daniel Radcliffe,10.0,2.0,1.0,0.0,0.0,13.0
Vin Diesel,10.0,1.0,0.0,2.0,0.0,13.0
Sylvester Stallone,9.0,3.0,0.0,0.0,1.0,13.0
Shia LaBeouf,9.0,0.0,1.0,2.0,1.0,13.0
Joaquin Phoenix,8.0,3.0,1.0,0.0,1.0,13.0
Jesse Eisenberg,6.0,4.0,3.0,0.0,0.0,13.0
Jessica Chastain,6.0,4.0,1.0,1.0,1.0,13.0
Kirsten Dunst,6.0,2.0,3.0,1.0,1.0,13.0
Emily Blunt,5.0,5.0,3.0,0.0,0.0,13.0
Vince Vaughn,4.0,5.0,3.0,1.0,0.0,13.0
Dennis Quaid,4.0,4.0,2.0,1.0,2.0,13.0
Eric Bana,4.0,2.0,2.0,3.0,2.0,13.0
Bill Murray,4.0,1.0,2.0,3.0,3.0,13.0
Jessica Alba,3.0,8.0,2.0,0.0,0.0,13.0
Mila Kunis,3.0,7.0,2.0,1.0,0.0,13.0
John C. Reilly,3.0,4.0,1.0,2.0,3.0,13.0
Josh Hutcherson,2.0,7.0,2.0,2.0,0.0,13.0
Salma Hayek Pinault,2.0,5.0,2.0,1.0,3.0,13.0
Ben Kingsley,2.0,4.0,5.0,1.0,1.0,13.0
Kristen Wiig,2.0,4.0,3.0,2.0,2.0,13.0
Regina Hall,2.0,4.0,2.0,1.0,4.0,13.0
Paul Bettany,2.0,2.0,1.0,5.0,3.0,13.0
Don Cheadle,1.0,4.0,6.0,1.0,1.0,13.0
John Malkovich,0.0,5.0,1.0,4.0,3.0,13.0
Steve Zahn,0.0,2.0,5.0,3.0,3.0,13.0
Brendan Gleeson,0.0,1.0,3.0,7.0,2.0,13.0
Sandra Bullock,11.0,1.0,0.0,0.0,0.0,12.0
Jennifer Lawrence,9.0,1.0,0.0,1.0,1.0,12.0
James McAvoy,7.0,4.0,1.0,0.0,0.0,12.0
Reese Witherspoon,7.0,3.0,1.0,0.0,1.0,12.0
Jet Li,7.0,2.0,2.0,1.0,0.0,12.0
Harrison Ford,6.0,4.0,2.0,0.0,0.0,12.0
Kate Beckinsale,6.0,4.0,2.0,0.0,0.0,12.0
Mel Gibson,6.0,4.0,0.0,2.0,0.0,12.0
Natalie Portman,5.0,4.0,3.0,0.0,0.0,12.0
Halle Berry,5.0,3.0,2.0,1.0,1.0,12.0
Jennifer Aniston,5.0,3.0,1.0,2.0,1.0,12.0
Kevin James,4.0,4.0,1.0,3.0,0.0,12.0
Michael Fassbender,4.0,4.0,0.0,2.0,2.0,12.0
Nicholas Hoult,4.0,1.0,4.0,2.0,1.0,12.0
Dakota Fanning,3.0,6.0,0.0,2.0,1.0,12.0
