,Total Movie Count
Steven Spielberg,16
Ridley Scott,13
Clint Eastwood,12
Robert Rodriguez,11
Michael Bay,11
Tim Burton,10
Guy Ritchie,10
M. Night Shyamalan,10
Antoine Fuqua,10
James Wan,10
Jaume Collet-Serra,10
Christopher Nolan,10
Tim Story,10
Steven Soderbergh,9
Ron Howard,9
Peter Jackson,8
Shawn Levy,8
Guillermo del Toro,8
Todd Phillips,8
Jon Favreau,8
Wes Anderson,8
David Yates,8
Adam Shankman,8
Roland Emmerich,8
Mark Waters,8
Martin Scorsese,8
Robert Schwentke,7
Zack Snyder,7
Gore Verbinski,7
Robert Zemeckis,7
Quentin Tarantino,7
Jon M. Chu,7
Marc Forster,7
Danny Boyle,7
Adam McKay,7
Peter Berg,7
Peter Segal,7
Doug Liman,7
Bobby Farrelly,7
Martin Campbell,6
Paul Thomas Anderson,6
Renny Harlin,6
F. Gary Gray,6
Edgar Wright,6
James Mangold,6
Denis Villeneuve,6
David Fincher,6
Mike Mitchell,6
Robert Luketic,6
Will Gluck,6
Raja Gosnell,6
Dennis Dugan,6
Sean Anders,6
Luc Besson,6
Sam Raimi,6
Bryan Singer,6
J.J. Abrams,6
Matthew Vaughn,6
Ruben Fleischer,6
Eli Roth,6
Louis Leterrier,6
Scott Derrickson,6
Francis Lawrence,6
Paul W. S. Anderson,6
Ang Lee,6
Sam Mendes,6
Zhang Yimou,5
Taika Waititi,5
Christopher Landon,5
Tony Scott,5
Kevin Smith,5
Rob Cohen,5
Edward Zwick,5
Malcolm D. Lee,5
David Bowers,5
Jason Reitman,5
Craig Gillespie,5
Jake Kasdan,5
Matt Reeves,5
Darren Aronofsky,5
Neil Burger,5
David Gordon Green,5
Tim Hill,5
Carlos Saldanha,5
David Ayer,5
Woody Allen,5
Judd Apatow,5
Joe Wright,5
Kenneth Branagh,5
Bill Condon,5
Rawson Marshall Thurber,5
Paul Feig,5
Brad Bird,5
D. J. Caruso,5
Jaume Balagueró,5
Chris Columbus,5
Andrzej Bartkowiak,5
Jon Turteltaub,5
Alejandro González Iñárritu,5
Lars von Trier,5
McG,5
Peyton Reed,5
Garry Marshall,5
Brett Ratner,5
John Woo,5
Lasse Hallström,5
Gary Winick,4
Jeff Tremaine,4
Adam Wingard,4
Pete Docter,4
Nicholas Stoller,4
Andy Tennant,4
Damien Chazelle,4
Len Wiseman,4
Shane Black,4
Neil Marshall,4
Andy Fickman,4
Andrew Adamson,4
Paul Greengrass,4
Walt Becker,4
Anthony Russo,4
"George Tillman, Jr.",4
Brian Taylor,4
Rob Marshall,4
Hayao Miyazaki,4
Michael Mann,4
Oliver Stone,4
Rob Minkoff,4
Boaz Yakin,4
Marcus Nispel,4
Alex Kendrick,4
John Lee Hancock,4
David Dobkin,4
Phil Lord,4
Tarsem Singh,4
Marc Webb,4
Jonathan Liebesman,4
Baltasar Kormákur,4
George Miller,4
Rob Zombie,4
Johannes Roberts,4
Sofia Coppola,4
Conrad Vernon,4
Daniel Espinosa,4
Andrew Stanton,4
David Leitch,4
Bong Joon-ho,4
Alexandre Aja,4
Greg McLean,4
Steve Carr,4
Roger Donaldson,4
Dominic Sena,4
David R. Ellis,4
Lilly Wachowski,4
Nancy Meyers,4
François Ozon,4
Olivier Megaton,4
Rian Johnson,4
Gaspar Noé,4
J. A. Bayona,4
John Moore,4
Brian Robbins,4
Chris Sanders,4
Jason Friedberg,4
Kelly Asbury,4
Wilson Yip,4
Chris Wedge,4
Deon Taylor,4
Brad Peyton,4
Lee Tamahori,4
James Wong,4
Michael Spierig,4
Jay Roach,4
Paul Verhoeven,4
James Gunn,4
Tom Hooper,4
Joseph Kosinski,4
Darren Lynn Bousman,4
Ben Stiller,4
Pierre Morel,4
Alfonso Cuarón,4
Simon West,4
Barry Sonnenfeld,4
Joe Carnahan,4
Frank Coraci,4
Luke Greenfield,4
Wes Craven,4
Joss Whedon,4
Mikael Håfström,4
Andrew Niccol,4
Keenen Ivory Wayans,4
Jeff Wadlow,4
David O. Russell,4
Gérard Krawczyk,3
Christopher McQuarrie,3
Tom Dey,3
Steven Brill,3
Seth MacFarlane,3
Genndy Tartakovsky,3
Joel Coen,3
Stephen Chbosky,3
Neill Blomkamp,3
Harald Zwart,3
Gary Ross,3
Byron Howard,3
Yorgos Lanthimos,3
Duncan Jones,3
Richard Curtis,3
Karyn Kusama,3
Donald Petrie,3
Eric Darnell,3
Noah Baumbach,3
Scott Stewart,3
Gavin O'Connor,3
John Hamburg,3
Steve McQueen,3
Paul Haggis,3
Destin Daniel Cretton,3
Henry Joost,3
Seth Gordon,3
Rupert Wyatt,3
Chris Renaud,3
Brian Levant,3
Adam Robitel,3
Tate Taylor,3
Jennifer Yuh Nelson,3
David Slade,3
John Singleton,3
James Bobin,3
Jonathan Mostow,3
Joe Johnston,3
Gareth Edwards,3
Alex Proyas,3
Don Mancini,3
Rob Letterman,3
Garth Jennings,3
Mel Gibson,3
Brian Helgeland,3
Mark Osborne,3
Ben Affleck,3
David Koepp,3
Ti West,3
Wolfgang Petersen,3
Cameron Crowe,3
John Whitesell,3
Steven Quale,3
Tom McGrath,3
Sylvester Stallone,3
Victor Salva,3
Takashi Shimizu,3
Ron Clements,3
Leigh Whannell,3
Walter Hill,3
Joachim Rønning,3
Timur Bekmambetov,3
Kevin Reynolds,3
Tom Shadyac,3
Stephen Sommers,3
Luca Guadagnino,3
Gil Kenan,3
Stephen Chow,3
Nick Cassavetes,3
James Watkins,3
Colin Trevorrow,3
Ryan Coogler,3
Catherine Hardwicke,3
Jon Watts,3
Kyle Balda,3
Robert Eggers,3
Albert Hughes,3
S. S. Rajamouli,3
Scott Cooper,3
Sean McNamara,3
Baz Luhrmann,3
Sylvain White,3
Richard LaGravenese,3
Christophe Gans,3
David F. Sandberg,3
Jon Lucas,3
Iain Softley,3
Randall Wallace,3
Jimmy Hayward,3
John Hillcoat,3
Paul McGuigan,3
Fede Álvarez,3
Tommy Wirkola,3
Andy Muschietti,3
Michael Tiddes,3
Spike Lee,3
Park Chan-wook,3
Mark Mylod,3
Alan Taylor,3
Mike Flanagan,3
Anne Fletcher,3
James DeMonaco,3
James McTeigue,3
Jordan Peele,3
Joel Schumacher,3
Chad Stahelski,3
Patty Jenkins,3
Timo Vuorensola,3
Patrick Hughes,3
Wes Ball,3
Richard Linklater,3
James Cameron,2
Nimród Antal,2
Stephen Hopkins,2
Michael Chaves,2
Sergei Bodrov,2
Juan José Campanella,2
Chris Weitz,2
Pete Travis,2
M. J. Bassett,2
Ash Brannon,2
Joel Crawford,2
José Padilha,2
Stuart Hazeldine,2
Rob Reiner,2
Don Hall,2
Jeff Fowler,2
Jon Hurwitz,2
Nicolas Winding Refn,2
Christian Alvart,2
Justin Chadwick,2
Kathryn Bigelow,2
David Frankel,2
Matt Bettinelli-Olpin,2
Spike Jonze,2
John Hyams,2
Tony Leondis,2
Eric Brevig,2
Olivia Wilde,2
Paul Weitz,2
Simon Kinberg,2
Martin McDonagh,2
Burr Steers,2
Gina Prince-Bythewood,2
Aneesh Chaganty,2
Rajkumar Hirani,2
Chris Williams,2
Kevin Greutert,2
Niels Arden Oplev,2
Peter Chelsom,2
Ric Roman Waugh,2
Daniel Alfredson,2
Michael Patrick King,2
Julia Ducournau,2
Isaac Florentine,2
Miguel Arteta,2
