,Movie ID,Actor 1,Actor 2,Actor 3,Director
0,11688,David Spade,John Goodman,Eartha Kitt,Mark Dindal
1,4247,Anna Faris,Jon Abrahams,Marlon Wayans,Keenen Ivory Wayans
2,9600,Martin Lawrence,Nia Long,Paul Giamatti,Raja Gosnell
3,98,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Ridley Scott
4,3134,Karen Lancaume,Raffaëla Anderson,Ouassini Embarek,Virginie Despentes
5,10867,Monica Bellucci,Giuseppe Sulfaro,Luciano Federico,Giuseppe Tornatore
6,955,Tom Cruise,Dougray Scott,Thandiwe Newton,John Woo
7,10567,D.B. Sweeney,Alfre Woodard,Ossie Davis,Ralph Zondag
8,8871,Jim Carrey,Taylor Momsen,Jeffrey Tambor,Ron Howard
9,1359,Christian Bale,Willem Dafoe,Jared Leto,Mary Harron
10,36968,Lindsay Lohan,Tyra Banks,Jere Burns,Mark Rosman
11,77,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Christopher Nolan
12,2024,Mel Gibson,Heath Ledger,Joely Richardson,Roland Emmerich
13,8358,Tom Hanks,Helen Hunt,Chris Noth,Robert Zemeckis
14,7443,Julia Sawalha,Mel Gibson,Imelda Staunton,Nick Park
15,9532,Devon Sawa,Ali Larter,Kerr Smith,James Wong
16,4234,David Arquette,Neve Campbell,Courteney Cox,Wes Craven
17,3981,Mel Gibson,Helen Hunt,Marisa Tomei,Nancy Meyers
18,2123,Jim Carrey,Renée Zellweger,Anthony Anderson,Bobby Farrelly
19,16366,Ben Affleck,Mark Hamill,Richard Herd,Rob LaDuca
20,10501,Kenneth Branagh,Kevin Kline,Rosie Perez,Bibo Bergeron
21,10991,Rica Matsumoto,Ikue Otani,Yuji Ueda,Kunihiko Yuyama
22,107,Jason Statham,Brad Pitt,Stephen Graham,Guy Ritchie
23,11978,Robert De Niro,Cuba Gooding Jr.,Charlize Theron,"George Tillman, Jr."
24,11849,Justin Whalin,Jeremy Irons,Thora Birch,Courtney Solomon
25,10637,Denzel Washington,Will Patton,Wood Harris,Boaz Yakin
26,4327,Cameron Diaz,Drew Barrymore,Lucy Liu,McG
27,2085,Jet Li,Aaliyah,Isaiah Washington,Andrzej Bartkowiak
28,9741,Bruce Willis,Samuel L. Jackson,Robin Wright,M. Night Shyamalan
29,843,Maggie Cheung,Tony Leung Chiu-wai,Rebecca Pan,Wong Kar-wai
30,12107,Eddie Murphy,Janet Jackson,Larry Miller,Peter Segal
31,55,Gael García Bernal,Vanessa Bauche,Goya Toledo,Alejandro González Iñárritu
32,9679,Nicolas Cage,Giovanni Ribisi,Angelina Jolie,Dominic Sena
33,2133,George Clooney,Mark Wahlberg,Diane Lane,Wolfgang Petersen
34,1907,Leonardo DiCaprio,Virginie Ledoyen,Guillaume Canet,Danny Boyle
35,20677,Minami Takayama,Wakana Yamazaki,Akira Kamiya,Kenji Kodama
36,6282,Piper Perabo,Maria Bello,Bridget Moynahan,David McNally
37,8859,Ashton Kutcher,Seann William Scott,Jennifer Garner,Danny Leiner
38,19576,Mayumi Tanaka,Kazuya Nakai,Akemi Okamura,Junji Shimizu
39,1493,Sandra Bullock,Benjamin Bratt,Michael Caine,Donald Petrie
40,1900,Michael Douglas,Benicio del Toro,Catherine Zeta-Jones,Steven Soderbergh
41,9678,Adam Sandler,Patricia Arquette,Harvey Keitel,Steven Brill
42,15655,Jim Cummings,Nikita Hopkins,Ken Sansom,Jun Falkenstein
43,15653,Bill Farmer,Jason Marsden,Jeff Bennett,Douglas McCarthy
44,1588,Kirsten Dunst,Eliza Dushku,Jesse Bradford,Peyton Reed
45,134,George Clooney,John Turturro,Tim Blake Nelson,Joel Coen
46,1597,Ben Stiller,Robert De Niro,Teri Polo,Jay Roach
47,9383,Kevin Bacon,Elisabeth Shue,Josh Brolin,Paul Verhoeven
48,71,Jamie Bell,Gary Lewis,Julie Walters,Stephen Daldry
49,2332,Samy Naceri,Frédéric Diefenthal,Marion Cotillard,Gérard Krawczyk
50,146,Chow Yun-fat,Michelle Yeoh,Zhang Ziyi,Ang Lee
51,15999,Hideyuki Tanaka,Ichiro Nagai,Koichi Yamadera,Yoshiaki Kawajiri
52,786,Billy Crudup,Patrick Fugit,Kate Hudson,Cameron Crowe
53,9285,Breckin Meyer,Seann William Scott,Paulo Costanzo,Todd Phillips
54,2655,Harrison Ford,Michelle Pfeiffer,Diana Scarwid,Robert Zemeckis
55,2069,Matthew Perry,Bruce Willis,Natasha Henstridge,Jonathan Lynn
56,10559,Dennis Quaid,Jim Caviezel,Shawn Doyle,Gregory Hoblit
57,7450,Matt Damon,Bill Pullman,Drew Barrymore,Gary Goldman
58,12609,Sebastian Jessen,Pil Neja,Morten Kerrn Nielsen,Stefan Fjeldmark
59,3176,Tatsuya Fujiwara,Aki Maeda,Takeshi Kitano,Kinji Fukasaku
60,8584,Jackie Chan,Owen Wilson,Lucy Liu,Tom Dey
61,671,Daniel Radcliffe,Rupert Grint,Emma Watson,Chris Columbus
62,585,John Goodman,Billy Crystal,Mary Gibbs,Pete Docter
63,808,Mike Myers,Eddie Murphy,Cameron Diaz,Andrew Adamson
64,120,Elijah Wood,Ian McKellen,Viggo Mortensen,Peter Jackson
65,129,Rumi Hiiragi,Miyu Irino,Mari Natsuki,Hayao Miyazaki
66,4248,Anna Faris,Regina Hall,Shawn Wayans,Keenen Ivory Wayans
67,11770,Stephen Chow,Zhao Wei,Ng Man-tat,Stephen Chow
68,5175,Jackie Chan,Chris Tucker,John Lone,Brett Ratner
69,2770,Jason Biggs,Thomas Ian Nicholas,Chris Klein,J.B. Rogers
70,869,Mark Wahlberg,Tim Roth,Helena Bonham Carter,Tim Burton
71,1734,Brendan Fraser,Rachel Weisz,John Hannah,Stephen Sommers
72,8922,Gina Philips,Justin Long,Jonathan Breck,Victor Salva
73,15167,Kelly Sheridan,Kirby Morrow,Tim Curry,Owen Hurley
74,676,Ben Affleck,Kate Beckinsale,Josh Hartnett,Michael Bay
75,161,George Clooney,Matt Damon,Andy García,Steven Soderbergh
76,453,Russell Crowe,Jennifer Connelly,Ed Harris,Ron Howard
77,855,Josh Hartnett,Eric Bana,Ewan McGregor,Ridley Scott
